customer_id,total_visits,avg_spend,days_since_last_visit
CUST_0077,13,13.43,58
CUST_0078,18,15.0,99
CUST_0079,14,8.75,3
CUST_0080,3,18.02,80
CUST_0081,15,19.41,69
CUST_0082,40,25.74,3
CUST_0083,10,12.65,10
CUST_0084,8,16.33,83
CUST_0085,2,12.82,25
CUST_0086,19,14.67,68
CUST_0087,2,25.5,61
CUST_0088,7,13.76,29
CUST_0089,5,13.21,19
CUST_0090,3,11.76,43
CUST_0091,11,18.72,66
CUST_0092,13,14.09,74
CUST_0093,33,30.75,6
CUST_0094,11,21.61,43
CUST_0095,9,22.1,25
CUST_0096,8,12.0,20
CUST_0097,18,5.67,48
CUST_0098,26,34.04,8
CUST_0099,4,11.58,87
CUST_0100,9,18.95,24
CUST_0101,7,5.15,11
CUST_0102,11,19.46,98
CUST_0103,3,8.94,55
CUST_0104,12,18.65,28
CUST_0105,3,15.07,69
CUST_0106,7,10.23,63
CUST_0107,15,12.96,59
CUST_0108,2,18.43,5
CUST_0109,6,15.53,51
CUST_0110,14,17.92,21
CUST_0111,28,43.88,9
CUST_0112,24,28.18,1
CUST_0113,6,23.09,4
CUST_0114,1,15.52,42
CUST_0115,1,10.51,84
CUST_0116,8,8.35,38
CUST_0117,2,14.05,25
CUST_0118,1,19.61,14
CUST_0119,5,14.36,75
CUST_0120,17,22.56,32
CUST_0121,27,26.74,3
CUST_0122,4,14.94,61
CUST_0123,6,8.74,18
CUST_0124,5,16.82,27
CUST_0125,5,19.43,55
CUST_0126,3,12.9,54
CUST_0127,22,24.0,3
CUST_0128,15,15.99,87
CUST_0129,8,17.18,75
CUST_0130,4,17.02,21
CUST_0131,2,21.18,44
CUST_0132,2,9.64,5
CUST_0133,14,18.4,87
CUST_0134,7,20.96,41
CUST_0135,5,6.11,59
CUST_0136,10,16.6,89
CUST_0137,5,12.48,54
CUST_0138,6,14.59,74
CUST_0139,2,16.74,22
CUST_0140,13,12.56,83
CUST_0141,15,11.62,65
CUST_0142,8,15.17,64
CUST_0143,2,9.56,71
CUST_0144,14,9.57,4
CUST_0145,4,18.4,65
CUST_0146,18,9.26,15
CUST_0147,6,18.33,76
CUST_0148,20,17.31,22
CUST_0149,24,26.37,8
CUST_0150,28,36.61,1
CUST_0151,4,20.97,81
CUST_0152,10,10.09,93
CUST_0153,2,12.68,46
CUST_0154,10,17.31,14
CUST_0155,6,18.92,50
CUST_0156,5,13.74,20
CUST_0157,21,29.01,5
CUST_0158,9,22.11,33
CUST_0159,13,23.69,59
CUST_0160,5,19.89,43
CUST_0161,5,15.43,79
CUST_0162,12,10.96,12
CUST_0163,6,10.85,40
CUST_0164,6,17.61,20
CUST_0165,5,17.09,94
CUST_0166,10,22.01,38
CUST_0167,1,18.25,3
CUST_0168,8,7.48,28
CUST_0169,4,20.26,56
CUST_0170,6,10.01,90
CUST_0171,3,13.08,94
CUST_0172,2,16.25,13
CUST_0173,10,24.98,77
CUST_0174,17,30.55,66
CUST_0175,5,18.03,37
CUST_0176,3,14.08,49
CUST_0177,13,17.67,66
CUST_0178,4,19.44,36
CUST_0179,13,13.4,54
CUST_0180,2,23.98,26
CUST_0181,6,16.15,75
CUST_0182,5,17.49,72
CUST_0183,3,18.33,40
CUST_0184,4,17.11,43
CUST_0185,12,19.19,22
CUST_0186,1,11.91,20
CUST_0187,7,12.21,8
CUST_0188,13,9.5,29
CUST_0189,8,17.2,40
CUST_0190,23,35.89,3
CUST_0191,12,17.29,30
CUST_0192,18,23.37,81
CUST_0193,12,14.97,84
CUST_0194,1,18.34,55
CUST_0195,2,9.54,16
CUST_0196,10,13.06,46
CUST_0197,1,18.48,62
CUST_0198,7,19.25,7
CUST_0199,17,13.53,80
CUST_0200,9,14.64,45
CUST_0201,2,7.41,59
CUST_0202,2,13.21,56
CUST_0203,2,19.45,48
CUST_0204,5,17.88,27
CUST_0205,9,17.5,53
CUST_0206,8,15.25,87
CUST_0207,30,32.04,2
CUST_0208,8,11.7,73
CUST_0209,3,18.49,35
CUST_0210,11,17.1,51
CUST_0211,5,17.46,84
CUST_0212,2,12.37,37
CUST_0213,18,4.23,81
CUST_0214,17,20.49,95
CUST_0215,26,34.61,8
CUST_0216,11,10.69,8
CUST_0217,17,18.47,79
CUST_0218,1,13.04,95
CUST_0219,14,20.3,94
CUST_0220,29,29.09,3
CUST_0221,3,18.42,53
CUST_0222,6,8.17,12
CUST_0223,2,21.06,49
CUST_0224,1,16.31,17
CUST_0225,8,13.15,64
CUST_0226,17,15.72,42
CUST_0227,2,6.12,94
CUST_0228,5,17.04,29
CUST_0229,8,9.85,19
CUST_0230,13,8.24,11
CUST_0231,25,28.39,7
CUST_0232,5,20.56,50
CUST_0233,6,11.85,71
CUST_0234,1,22.67,58
CUST_0235,7,12.32,34
CUST_0236,5,6.46,20
CUST_0237,6,9.42,50
CUST_0238,2,21.18,88
CUST_0239,5,14.22,10
CUST_0240,1,12.26,32
CUST_0241,10,15.8,52
CUST_0242,17,17.51,15
CUST_0243,5,20.59,84
CUST_0244,3,22.24,3
CUST_0245,32,32.2,1
CUST_0246,17,8.37,40
CUST_0247,9,12.93,72
CUST_0248,6,16.3,40
CUST_0249,5,10.18,56
CUST_0250,12,10.21,23
CUST_0251,21,37.72,6
CUST_0252,10,14.76,64
CUST_0253,27,35.16,3
CUST_0254,7,11.21,93
CUST_0255,6,13.85,94
CUST_0256,32,34.38,8
CUST_0257,1,19.45,60
CUST_0258,8,20.18,10
CUST_0259,2,5.77,39
CUST_0260,7,10.35,28
CUST_0261,1,7.52,49
CUST_0262,13,11.75,36
CUST_0263,5,14.58,13
CUST_0264,57,32.75,6
CUST_0265,30,36.39,2
CUST_0266,5,9.98,26
CUST_0267,5,16.04,86
CUST_0268,10,15.35,4
CUST_0269,6,11.39,95
CUST_0270,20,15.88,82
CUST_0271,28,23.27,6
CUST_0272,4,13.64,38
CUST_0273,18,23.37,88
CUST_0274,3,21.7,87
CUST_0275,6,8.5,22
CUST_0276,2,19.15,2
CUST_0277,8,19.06,31
CUST_0278,8,9.26,11
CUST_0279,1,19.09,92
CUST_0280,9,22.69,46
CUST_0281,4,9.39,96
CUST_0282,8,10.41,62
CUST_0283,7,20.09,69
CUST_0284,5,16.36,64
CUST_0285,14,17.76,10
CUST_0286,16,16.7,40
CUST_0287,2,16.95,24
CUST_0288,6,8.37,99
CUST_0289,13,20.24,44
CUST_0290,35,47.85,7
CUST_0291,13,13.85,62
CUST_0292,1,14.78,87
CUST_0293,17,7.34,17
CUST_0294,2,17.57,65
CUST_0295,8,17.86,95
CUST_0296,7,14.69,95
CUST_0297,7,20.62,57
CUST_0298,12,13.33,55
CUST_0299,22,38.82,5
CUST_0300,8,9.9,56
CUST_0301,9,14.88,98
CUST_0302,17,14.13,9
CUST_0303,3,16.13,22
CUST_0304,27,41.15,3
CUST_0305,9,14.34,89
CUST_0306,2,19.13,48
CUST_0307,24,39.82,4
CUST_0308,1,6.97,76
CUST_0309,4,23.75,40
CUST_0310,23,47.91,4
CUST_0311,7,8.54,15
CUST_0312,1,18.45,15
CUST_0313,30,27.49,6
CUST_0314,7,16.32,63
CUST_0315,2,16.47,39
CUST_0316,2,13.83,13
CUST_0317,7,11.08,81
CUST_0318,3,11.55,32
CUST_0319,10,10.42,9
CUST_0320,3,10.84,40
CUST_0321,16,14.66,20
CUST_0322,3,11.42,90
CUST_0323,9,18.41,91
CUST_0324,1,22.44,85
CUST_0325,5,12.1,82
CUST_0326,7,16.2,77
CUST_0327,11,17.5,80
CUST_0328,17,17.36,73
CUST_0329,10,15.38,63
CUST_0330,2,18.71,76
CUST_0331,1,17.41,44
CUST_0332,33,32.81,1
CUST_0333,4,19.35,83
CUST_0334,1,19.44,60
CUST_0335,8,11.18,71
CUST_0336,4,15.19,99
CUST_0337,12,18.42,48
CUST_0338,5,13.95,18
CUST_0339,12,20.36,16
CUST_0340,13,26.82,55
CUST_0341,16,11.07,39
CUST_0342,4,8.09,68
CUST_0343,1,16.52,59
CUST_0344,16,18.61,89
CUST_0345,12,13.85,96
CUST_0346,2,22.27,62
CUST_0347,12,8.31,13
CUST_0348,4,18.46,81
CUST_0349,3,11.97,6
CUST_0350,12,23.6,83
CUST_0351,4,24.96,77
CUST_0352,7,11.17,60
CUST_0353,9,12.25,90
CUST_0354,8,19.3,14
CUST_0355,6,13.06,95
CUST_0356,3,14.77,54
CUST_0357,14,15.13,4
CUST_0358,2,5.4,39
CUST_0359,2,14.93,72
CUST_0360,10,11.55,25
CUST_0361,1,12.53,77
CUST_0362,13,22.22,32
CUST_0363,16,8.72,59
CUST_0364,7,19.07,63
CUST_0365,3,13.61,38
CUST_0366,4,13.6,92
CUST_0367,2,18.95,53
CUST_0368,16,16.7,94
CUST_0369,3,17.85,67
CUST_0370,12,19.84,28
CUST_0371,5,13.34,3
CUST_0372,4,11.94,98
CUST_0373,3,9.57,80
CUST_0374,12,10.87,22
CUST_0375,9,29.75,96
CUST_0376,1,21.22,38
CUST_0377,15,8.24,72
CUST_0378,11,8.39,72
CUST_0379,3,17.41,62
CUST_0380,5,17.74,57
CUST_0381,44,29.74,4
CUST_0382,1,13.73,78
CUST_0383,23,29.37,4
CUST_0384,3,16.64,99
CUST_0385,24,27.43,1
CUST_0386,11,3.9,3
CUST_0387,5,13.85,59
CUST_0388,3,10.74,76
CUST_0389,3,15.88,49
CUST_0390,25,39.93,9
CUST_0391,34,38.84,4
CUST_0392,3,13.43,93
CUST_0393,1,19.61,69
CUST_0394,10,17.41,62
CUST_0395,7,17.1,52
CUST_0396,16,18.03,89
CUST_0397,2,25.28,41
CUST_0398,9,9.35,31
CUST_0399,9,17.37,85
CUST_0400,1,10.37,84
CUST_0401,15,17.78,22
CUST_0402,5,10.41,4
CUST_0403,1,12.91,13
CUST_0404,17,13.52,45
CUST_0405,5,19.88,42
CUST_0406,4,19.59,49
CUST_0407,34,31.77,7
CUST_0408,14,15.27,77
CUST_0409,3,11.45,81
CUST_0410,1,8.71,54
CUST_0411,6,13.91,36
CUST_0412,28,35.46,3
CUST_0413,6,27.13,1
CUST_0414,8,17.16,15
CUST_0415,25,21.11,3
CUST_0416,21,28.18,8
CUST_0417,9,20.11,24
CUST_0418,9,25.44,58
CUST_0419,2,7.07,72
CUST_0420,10,5.6,91
CUST_0421,3,24.35,23
CUST_0422,6,16.95,46
CUST_0423,1,10.66,72
CUST_0424,1,17.67,8
CUST_0425,7,2.0,59
CUST_0426,10,15.02,90
CUST_0427,9,16.64,59
CUST_0428,6,19.62,13
CUST_0429,4,9.93,39
CUST_0430,7,15.43,28
CUST_0431,6,10.37,89
CUST_0432,10,16.28,61
CUST_0433,4,10.52,16
CUST_0434,2,12.96,2
CUST_0435,14,10.02,82
CUST_0436,11,18.26,17
CUST_0437,8,19.29,30
CUST_0438,6,13.83,13
CUST_0439,2,15.19,96
CUST_0440,19,7.76,93
CUST_0441,1,13.5,94
CUST_0442,8,14.75,82
CUST_0443,40,47.1,8
CUST_0444,2,9.44,43
CUST_0445,4,22.32,85
CUST_0446,2,19.98,94
CUST_0447,13,16.4,21
CUST_0448,19,23.79,55
CUST_0449,12,16.86,81
CUST_0450,16,16.95,40
CUST_0451,2,14.73,83
CUST_0452,6,21.12,15
CUST_0453,9,20.48,73
CUST_0454,3,11.87,52
CUST_0455,6,8.4,74
CUST_0456,10,13.99,95
CUST_0457,6,11.0,53
CUST_0458,20,14.68,87
CUST_0459,4,21.19,52
CUST_0460,10,12.71,30
CUST_0461,17,14.79,33
CUST_0462,20,15.29,57
CUST_0463,8,19.24,52
CUST_0464,5,3.77,9
CUST_0465,60,27.97,1
CUST_0466,1,16.06,1
CUST_0467,9,21.0,44
CUST_0468,16,12.54,99
CUST_0469,19,5.62,75
CUST_0470,4,18.1,98
CUST_0471,4,11.82,80
CUST_0472,29,33.05,2
CUST_0473,2,11.88,32
CUST_0474,5,14.08,15
CUST_0475,6,11.98,12
CUST_0476,20,3.97,97
CUST_0477,5,19.49,78
CUST_0478,3,21.37,57
CUST_0479,10,18.26,8
CUST_0480,12,9.31,72
CUST_0481,3,13.99,27
CUST_0482,11,14.97,62
CUST_0483,4,17.99,12
CUST_0484,20,18.34,65
CUST_0485,1,11.33,42
CUST_0486,7,15.41,62
CUST_0487,22,41.29,8
CUST_0488,4,22.28,43
CUST_0489,7,18.52,95
CUST_0490,3,18.95,17
CUST_0491,6,15.42,97
CUST_0492,4,22.05,32
CUST_0493,14,17.05,93
CUST_0494,6,10.69,85
CUST_0495,10,22.02,85
CUST_0496,2,18.49,40
CUST_0497,15,12.78,23
CUST_0498,2,12.6,56
CUST_0499,3,16.48,6
CUST_0500,10,17.32,86
