date,weekday,month,is_weekend,is_holiday,weather_score,promo_flag,traffic_count,avg_ticket,total_sales,total_expenses
2024-05-23,3,5,0,0,0.57,0,121,3.06,442.81,138.65
2024-05-24,4,5,0,0,0.62,0,129,4.66,699.51,214.75
2024-05-25,5,5,1,0,0.558,0,162,2.97,590.06,228.33
2024-05-26,6,5,1,0,0.97,0,152,5.18,963.57,365.37
2024-05-27,0,5,0,0,0.484,0,107,3.92,493.75,189.82
2024-05-28,1,5,0,0,0.677,0,122,3.84,514.9,150.66
2024-05-29,2,5,0,0,0.922,0,111,5.26,697.77,223.78
2024-05-30,3,5,0,0,0.505,0,106,2.82,319.03,126.57
2024-05-31,4,5,0,0,0.524,0,126,4.09,559.44,188.98
2024-06-01,5,6,1,0,0.659,0,135,3.61,566.95,180.3
2024-06-02,6,6,1,0,0.667,0,145,4.21,712.94,263.17
2024-06-03,0,6,0,0,0.606,0,91,5.0,492.89,159.96
2024-06-04,1,6,0,0,0.733,0,100,3.7,403.01,134.98
2024-06-05,2,6,0,0,0.497,1,118,3.85,527.23,226.34
2024-06-06,3,6,0,0,0.825,0,112,4.92,582.15,187.2
2024-06-07,4,6,0,0,0.406,0,111,3.57,430.47,147.24
2024-06-08,5,6,1,0,0.722,0,143,3.85,604.75,209.67
2024-06-09,6,6,1,0,0.571,0,116,4.21,533.68,166.46
2024-06-10,0,6,0,0,0.351,1,110,5.78,748.41,252.97
2024-06-11,1,6,0,0,0.402,0,95,3.97,405.43,146.83
2024-06-12,2,6,0,0,0.422,1,110,4.07,478.99,180.47
2024-06-13,3,6,0,0,0.823,0,130,4.63,721.15,245.34
2024-06-14,4,6,0,0,0.662,0,102,2.65,306.03,120.73
2024-06-15,5,6,1,0,0.872,0,138,3.07,492.36,191.38
2024-06-16,6,6,1,0,0.67,0,117,4.27,548.08,197.39
2024-06-17,0,6,0,0,0.642,0,91,4.16,407.7,130.42
2024-06-18,1,6,0,0,0.691,0,92,4.12,405.66,148.61
2024-06-19,2,6,0,0,0.602,0,94,3.6,361.65,121.59
2024-06-20,3,6,0,0,0.571,0,91,3.73,393.05,147.09
2024-06-21,4,6,0,0,0.606,0,110,4.23,554.67,186.42
2024-06-22,5,6,1,0,0.327,0,109,3.97,469.66,147.54
2024-06-23,6,6,1,0,0.64,0,120,3.94,514.42,175.63
2024-06-24,0,6,0,0,0.455,1,108,5.0,599.05,234.88
2024-06-25,1,6,0,0,0.875,1,120,4.91,659.43,232.97
2024-06-26,2,6,0,0,0.634,0,96,3.62,399.07,152.25
2024-06-27,3,6,0,0,0.619,1,123,2.59,356.14,143.0
2024-06-28,4,6,0,0,0.43,0,94,3.38,373.12,116.39
2024-06-29,5,6,1,0,0.783,1,161,4.73,864.98,352.0
2024-06-30,6,6,1,0,0.477,0,116,4.91,665.65,201.42
2024-07-01,0,7,0,0,0.816,1,104,5.61,668.63,291.12
2024-07-02,1,7,0,0,0.645,0,93,3.97,419.6,150.64
2024-07-03,2,7,0,0,0.868,0,111,3.95,525.06,197.47
2024-07-04,3,7,0,0,0.566,0,94,4.45,464.84,152.25
2024-07-05,4,7,0,0,0.816,1,124,5.93,874.22,356.51
2024-07-06,5,7,1,0,0.618,0,128,2.65,376.92,142.82
2024-07-07,6,7,1,0,0.479,0,109,4.14,530.84,202.45
2024-07-08,0,7,0,0,0.479,1,113,4.8,609.98,242.25
2024-07-09,1,7,0,0,0.589,0,91,4.37,457.16,149.69
2024-07-10,2,7,0,0,0.733,0,95,3.74,370.11,145.93
2024-07-11,3,7,0,0,0.867,0,114,4.25,558.07,191.97
2024-07-12,4,7,0,0,0.345,0,102,4.43,517.83,167.61
2024-07-13,5,7,1,0,0.502,0,118,3.31,433.61,159.27
2024-07-14,6,7,1,0,0.814,0,121,4.5,595.15,180.42
2024-07-15,0,7,0,0,0.323,0,82,4.34,402.08,159.8
2024-07-16,1,7,0,0,0.823,0,94,4.47,448.29,141.22
2024-07-17,2,7,0,0,0.633,0,93,3.95,410.32,150.47
2024-07-18,3,7,0,0,1.0,1,135,4.59,747.93,294.05
2024-07-19,4,7,0,0,0.43,0,99,5.55,611.15,232.5
2024-07-20,5,7,1,0,0.816,0,142,4.58,710.75,217.78
2024-07-21,6,7,1,0,0.539,0,106,4.95,597.04,225.07
2024-07-22,0,7,0,0,0.827,0,89,4.11,401.35,154.37
2024-07-23,1,7,0,0,0.773,0,91,3.44,366.52,114.67
2024-07-24,2,7,0,0,0.432,0,82,3.9,336.54,100.38
2024-07-25,3,7,0,0,0.817,0,102,4.09,479.0,175.95
2024-07-26,4,7,0,0,0.746,0,99,2.94,336.64,120.77
2024-07-27,5,7,1,0,0.458,0,100,3.37,395.94,150.83
2024-07-28,6,7,1,0,0.608,1,132,5.54,867.02,340.4
2024-07-29,0,7,0,0,0.598,0,93,3.75,386.92,133.22
2024-07-30,1,7,0,0,0.211,1,96,5.26,548.95,196.27
2024-07-31,2,7,0,0,1.0,0,109,2.89,377.27,137.31
2024-08-01,3,8,0,0,0.419,0,102,4.45,505.78,182.92
2024-08-02,4,8,0,0,0.718,0,102,3.74,404.36,132.74
2024-08-03,5,8,1,0,0.523,0,110,3.16,383.09,140.33
2024-08-04,6,8,1,0,0.577,0,126,3.57,501.88,163.39
2024-08-05,0,8,0,0,0.559,0,80,4.61,429.55,155.64
2024-08-06,1,8,0,0,0.441,0,78,3.55,307.84,115.01
2024-08-07,2,8,0,0,0.851,0,76,3.78,311.26,114.17
2024-08-08,3,8,0,0,0.97,0,119,4.22,574.08,201.36
2024-08-09,4,8,0,0,0.725,1,139,5.04,805.91,276.36
2024-08-10,5,8,1,0,0.784,0,117,3.72,514.61,204.73
2024-08-11,6,8,1,0,0.672,0,101,4.01,477.06,165.02
2024-08-12,0,8,0,0,0.881,0,84,4.35,424.4,146.78
2024-08-13,1,8,0,0,0.439,0,77,4.69,399.17,159.62
2024-08-14,2,8,0,0,0.518,0,84,3.77,350.37,119.16
2024-08-15,3,8,0,0,0.809,0,102,5.06,582.6,183.92
2024-08-16,4,8,0,0,0.629,0,96,3.9,410.42,148.98
2024-08-17,5,8,1,0,0.364,0,117,4.12,514.11,177.5
2024-08-18,6,8,1,0,0.373,0,88,3.52,340.19,125.69
2024-08-19,0,8,0,0,0.701,0,86,3.91,369.21,146.43
2024-08-20,1,8,0,0,0.474,0,89,4.9,504.22,167.3
2024-08-21,2,8,0,0,0.337,0,74,3.21,271.29,79.75
2024-08-22,3,8,0,0,0.851,0,102,5.19,587.12,176.62
2024-08-23,4,8,0,0,0.615,0,102,3.73,436.13,169.82
2024-08-24,5,8,1,0,0.988,0,133,3.96,608.1,214.2
2024-08-25,6,8,1,0,0.751,0,109,4.41,566.78,203.0
2024-08-26,0,8,0,0,0.643,0,104,3.75,423.32,123.2
2024-08-27,1,8,0,0,0.653,0,92,3.67,357.84,121.16
2024-08-28,2,8,0,0,0.485,0,89,3.8,390.36,121.76
2024-08-29,3,8,0,0,0.683,0,85,4.25,401.5,141.82
2024-08-30,4,8,0,0,0.77,0,99,3.94,438.78,160.35
2024-08-31,5,8,1,0,0.559,0,122,4.45,618.01,240.69
2024-09-01,6,9,1,0,0.607,0,109,3.69,459.75,167.6
2024-09-02,0,9,0,0,0.825,0,76,3.24,273.35,106.44
2024-09-03,1,9,0,0,0.526,0,67,3.35,230.32,74.27
2024-09-04,2,9,0,0,0.48,0,75,4.49,369.29,146.56
2024-09-05,3,9,0,0,0.229,0,69,4.15,309.98,117.39
2024-09-06,4,9,0,0,0.956,0,95,4.45,497.71,152.04
2024-09-07,5,9,1,0,1.0,0,114,5.76,771.43,254.75
2024-09-08,6,9,1,0,0.621,0,104,4.26,493.58,179.67
2024-09-09,0,9,0,0,0.508,0,66,4.47,308.33,90.26
2024-09-10,1,9,0,0,0.588,0,57,3.7,218.19,64.79
2024-09-11,2,9,0,0,0.797,0,65,3.92,291.18,94.19
2024-09-12,3,9,0,0,0.674,0,97,4.92,506.59,172.19
2024-09-13,4,9,0,0,0.478,0,71,3.34,246.38,82.69
2024-09-14,5,9,1,0,0.824,1,123,5.14,762.31,254.31
2024-09-15,6,9,1,0,0.546,0,98,4.37,488.63,170.97
2024-09-16,0,9,0,0,0.555,0,71,4.67,346.12,105.03
2024-09-17,1,9,0,0,0.735,0,69,3.69,259.32,97.65
2024-09-18,2,9,0,0,0.431,0,78,4.75,382.99,143.3
2024-09-19,3,9,0,0,0.653,0,87,4.04,407.68,118.35
2024-09-20,4,9,0,0,0.71,0,91,4.45,434.11,134.22
2024-09-21,5,9,1,0,0.658,1,122,5.21,707.52,247.04
2024-09-22,6,9,1,0,0.551,1,107,4.37,541.92,207.22
2024-09-23,0,9,0,0,0.658,1,82,3.65,309.48,128.79
2024-09-24,1,9,0,1,0.61,0,82,4.61,439.83,139.29
2024-09-25,2,9,0,0,0.439,0,72,2.89,214.04,63.97
2024-09-26,3,9,0,0,0.644,0,87,4.39,428.57,150.14
2024-09-27,4,9,0,0,0.355,0,102,3.42,370.16,135.92
2024-09-28,5,9,1,0,0.75,0,100,3.37,386.9,121.35
2024-09-29,6,9,1,0,0.556,0,93,3.6,352.16,118.66
2024-09-30,0,9,0,0,0.674,0,75,4.45,383.89,114.16
2024-10-01,1,10,0,0,0.659,1,88,5.02,491.37,193.85
2024-10-02,2,10,0,0,0.292,0,68,4.47,323.32,117.43
2024-10-03,3,10,0,0,0.621,0,68,5.0,361.56,127.84
2024-10-04,4,10,0,0,0.572,0,85,3.84,341.42,130.76
2024-10-05,5,10,1,0,0.474,0,113,4.61,624.26,237.24
2024-10-06,6,10,1,0,0.355,0,88,4.09,419.31,159.86
2024-10-07,0,10,0,0,0.608,0,85,4.0,350.75,135.28
2024-10-08,1,10,0,0,0.773,0,76,4.39,370.6,108.72
2024-10-09,2,10,0,0,0.617,0,73,3.89,318.05,119.41
2024-10-10,3,10,0,0,0.766,0,90,4.3,409.37,146.54
2024-10-11,4,10,0,0,0.554,0,82,3.55,310.41,115.8
2024-10-12,5,10,1,0,0.697,1,125,5.31,775.25,297.33
2024-10-13,6,10,1,0,0.653,0,96,4.14,430.88,134.97
2024-10-14,0,10,0,0,0.607,1,94,5.63,550.6,226.94
2024-10-15,1,10,0,0,0.699,0,85,3.06,297.68,88.69
2024-10-16,2,10,0,0,0.619,0,80,4.23,390.96,150.45
2024-10-17,3,10,0,0,0.411,0,74,3.94,298.33,97.17
2024-10-18,4,10,0,0,0.664,0,81,3.43,321.23,96.27
2024-10-19,5,10,1,0,0.755,0,108,3.6,426.63,139.66
2024-10-20,6,10,1,0,0.653,0,104,4.82,533.95,184.8
2024-10-21,0,10,0,0,0.759,0,80,4.66,394.86,120.87
2024-10-22,1,10,0,0,0.32,0,59,3.59,232.21,71.87
2024-10-23,2,10,0,0,0.65,0,71,4.24,345.03,121.48
2024-10-24,3,10,0,0,0.424,0,69,3.35,254.89,78.15
2024-10-25,4,10,0,0,0.797,0,100,4.17,466.02,151.06
2024-10-26,5,10,1,0,0.74,0,128,4.6,637.58,245.51
2024-10-27,6,10,1,0,0.833,0,97,3.46,387.66,150.62
2024-10-28,0,10,0,0,0.673,0,88,3.39,321.91,110.2
2024-10-29,1,10,0,0,0.658,1,95,5.54,601.0,231.69
2024-10-30,2,10,0,0,0.522,0,78,4.84,409.87,142.43
2024-10-31,3,10,0,0,0.714,0,96,3.74,404.42,152.39
2024-11-01,4,11,0,0,0.709,0,104,4.31,513.76,165.05
2024-11-02,5,11,1,0,0.637,0,107,4.58,556.47,170.03
2024-11-03,6,11,1,0,0.564,0,116,4.01,519.61,184.7
2024-11-04,0,11,0,0,0.763,0,89,4.48,450.32,171.66
2024-11-05,1,11,0,0,0.302,0,71,3.53,277.55,93.42
2024-11-06,2,11,0,0,0.51,0,89,4.53,444.85,140.09
2024-11-07,3,11,0,0,1.0,1,136,5.64,839.25,348.12
2024-11-08,4,11,0,0,0.81,1,110,4.57,539.6,200.43
2024-11-09,5,11,1,0,0.942,1,162,4.2,834.25,290.49
2024-11-10,6,11,1,0,0.509,0,107,4.25,496.88,185.01
2024-11-11,0,11,0,0,0.814,0,88,4.09,413.18,141.14
2024-11-12,1,11,0,0,0.708,0,81,4.86,419.86,139.4
2024-11-13,2,11,0,0,0.6,0,102,3.97,470.41,143.58
2024-11-14,3,11,0,0,0.62,0,106,3.94,489.61,187.83
2024-11-15,4,11,0,0,0.592,0,101,3.72,441.67,135.24
2024-11-16,5,11,1,0,0.278,0,116,3.67,453.0,134.02
2024-11-17,6,11,1,0,0.73,0,116,6.13,792.56,232.3
2024-11-18,0,11,0,0,0.932,0,93,4.28,429.53,163.77
2024-11-19,1,11,0,0,0.525,0,92,4.92,498.39,144.82
2024-11-20,2,11,0,0,0.742,0,96,3.28,351.53,106.24
2024-11-21,3,11,0,0,0.532,0,93,4.38,447.26,168.76
2024-11-22,4,11,0,0,0.536,0,101,4.11,464.81,147.16
2024-11-23,5,11,1,0,0.661,1,138,5.46,841.4,316.22
2024-11-24,6,11,1,0,0.641,0,109,4.87,598.08,238.46
2024-11-25,0,11,0,0,0.711,0,88,4.63,457.76,182.15
2024-11-26,1,11,0,0,0.619,0,90,3.65,369.41,138.48
2024-11-27,2,11,0,0,0.862,0,97,4.36,473.68,179.75
2024-11-28,3,11,0,0,0.762,0,115,3.91,529.18,157.14
2024-11-29,4,11,0,0,0.38,0,91,4.33,410.84,128.16
2024-11-30,5,11,1,0,1.0,0,146,4.95,814.08,303.54
2024-12-01,6,12,1,0,0.665,1,138,5.92,987.86,362.06
2024-12-02,0,12,0,0,0.742,0,111,4.15,511.92,203.29
2024-12-03,1,12,0,0,0.238,0,67,4.22,306.96,116.07
2024-12-04,2,12,0,0,0.61,0,96,4.53,472.7,141.25
2024-12-05,3,12,0,0,0.417,0,97,4.96,530.64,194.15
2024-12-06,4,12,0,0,0.588,0,116,2.92,372.6,148.22
2024-12-07,5,12,1,0,1.0,0,165,4.59,879.87,332.7
2024-12-08,6,12,1,0,0.489,1,123,4.28,564.31,190.4
2024-12-09,0,12,0,0,0.424,0,92,4.64,477.22,170.16
2024-12-10,1,12,0,0,0.431,0,75,4.26,349.93,116.8
2024-12-11,2,12,0,0,0.386,0,95,4.49,488.39,168.44
2024-12-12,3,12,0,0,0.445,0,110,4.16,548.33,176.24
2024-12-13,4,12,0,0,0.815,0,121,4.22,607.25,206.3
2024-12-14,5,12,1,0,0.837,1,173,4.62,929.61,342.3
2024-12-15,6,12,1,0,0.363,1,122,4.77,692.55,282.77
2024-12-16,0,12,0,0,0.85,0,108,3.9,455.55,139.07
2024-12-17,1,12,0,0,0.615,0,111,4.33,532.89,201.65
2024-12-18,2,12,0,0,0.385,1,111,4.24,545.6,211.6
2024-12-19,3,12,0,0,1.0,0,127,3.99,614.72,221.7
2024-12-20,4,12,0,0,0.362,0,114,4.95,649.48,201.35
2024-12-21,5,12,1,0,0.463,0,121,4.74,615.42,186.88
2024-12-22,6,12,1,0,0.742,0,139,4.06,689.27,267.74
2024-12-23,0,12,0,0,0.459,0,103,5.05,586.12,178.04
2024-12-24,1,12,0,1,0.548,0,135,5.4,802.63,306.97
2024-12-25,2,12,0,1,0.994,0,137,3.99,635.98,254.89
2024-12-26,3,12,0,0,0.674,0,117,3.43,470.54,158.02
2024-12-27,4,12,0,0,0.499,0,107,4.21,492.52,194.66
2024-12-28,5,12,1,0,0.357,0,137,4.13,616.17,208.49
2024-12-29,6,12,1,0,0.747,0,142,4.99,801.62,295.81
2024-12-30,0,12,0,0,0.585,0,94,4.59,482.88,156.99
2024-12-31,1,12,0,1,0.747,0,136,5.15,765.89,261.88
2025-01-01,2,1,0,1,0.434,0,109,4.93,591.51,220.96
2025-01-02,3,1,0,0,0.54,0,91,3.5,353.36,121.86
2025-01-03,4,1,0,0,0.606,0,101,2.64,287.1,94.4
2025-01-04,5,1,1,0,0.664,1,127,5.14,761.47,290.7
2025-01-05,6,1,1,0,0.34,0,95,4.92,537.04,177.36
2025-01-06,0,1,0,0,0.425,0,79,4.03,351.05,104.64
2025-01-07,1,1,0,0,0.314,0,77,5.1,408.32,162.21
2025-01-08,2,1,0,0,0.601,0,90,3.68,387.02,144.38
2025-01-09,3,1,0,0,0.688,0,106,4.51,525.19,179.67
2025-01-10,4,1,0,0,0.647,0,95,3.75,387.22,138.41
2025-01-11,5,1,1,0,0.967,0,157,4.03,774.27,269.88
2025-01-12,6,1,1,0,0.835,0,113,5.25,658.89,239.91
2025-01-13,0,1,0,0,0.856,0,97,4.06,411.92,140.96
2025-01-14,1,1,0,0,0.349,0,83,3.18,293.02,108.23
2025-01-15,2,1,0,0,0.525,0,85,3.36,300.34,109.59
2025-01-16,3,1,0,0,0.384,1,110,5.01,582.64,212.38
2025-01-17,4,1,0,0,0.78,0,119,4.41,624.51,231.66
2025-01-18,5,1,1,0,0.28,1,135,5.41,822.53,331.35
2025-01-19,6,1,1,0,0.526,1,128,5.57,801.05,332.37
2025-01-20,0,1,0,0,0.534,0,83,3.48,321.98,100.18
2025-01-21,1,1,0,0,0.625,0,99,4.7,505.01,157.97
2025-01-22,2,1,0,0,0.594,0,88,4.71,483.14,182.38
2025-01-23,3,1,0,0,0.607,0,103,2.98,357.65,141.27
2025-01-24,4,1,0,0,0.966,0,116,4.68,631.81,207.3
2025-01-25,5,1,1,0,0.55,0,127,4.42,677.73,248.44
2025-01-26,6,1,1,0,0.894,1,139,4.57,710.16,286.68
2025-01-27,0,1,0,0,0.368,1,101,4.28,458.36,190.12
2025-01-28,1,1,0,0,0.768,1,94,4.67,481.64,208.48
2025-01-29,2,1,0,0,0.768,0,92,4.71,489.26,190.75
2025-01-30,3,1,0,0,0.584,1,109,4.77,601.98,260.68
2025-01-31,4,1,0,0,0.715,0,108,4.81,621.42,207.35
2025-02-01,5,2,1,0,1.0,0,167,3.6,750.98,290.21
2025-02-02,6,2,1,0,0.913,1,154,5.59,1071.5,417.63
2025-02-03,0,2,0,0,0.604,0,113,3.76,478.02,148.76
2025-02-04,1,2,0,0,0.701,0,100,4.18,480.84,181.27
2025-02-05,2,2,0,0,0.735,0,101,3.83,452.01,175.68
2025-02-06,3,2,0,0,0.721,1,119,4.91,633.08,231.45
2025-02-07,4,2,0,0,0.519,0,108,4.64,581.89,229.81
2025-02-08,5,2,1,0,0.588,1,169,4.58,866.9,297.35
2025-02-09,6,2,1,0,0.453,0,107,4.6,581.03,213.47
2025-02-10,0,2,0,0,0.586,0,103,3.97,441.32,134.47
2025-02-11,1,2,0,0,0.859,0,103,3.38,385.56,135.11
2025-02-12,2,2,0,0,0.4,0,94,4.29,462.39,178.5
2025-02-13,3,2,0,0,0.753,1,119,5.41,691.7,271.19
2025-02-14,4,2,0,0,0.83,0,125,3.89,543.01,188.55
2025-02-15,5,2,1,0,0.635,1,165,5.86,1083.43,418.36
2025-02-16,6,2,1,0,0.751,0,120,4.0,543.03,205.68
2025-02-17,0,2,0,0,0.637,0,91,4.87,506.2,179.0
2025-02-18,1,2,0,0,0.779,1,122,6.5,853.24,369.21
2025-02-19,2,2,0,0,0.604,1,106,5.66,696.44,304.77
2025-02-20,3,2,0,0,0.506,0,97,3.3,374.99,124.24
2025-02-21,4,2,0,0,0.865,0,118,3.56,486.07,159.55
2025-02-22,5,2,1,0,0.777,0,154,4.14,699.29,204.54
2025-02-23,6,2,1,0,0.553,0,117,3.53,470.17,178.93
2025-02-24,0,2,0,0,0.623,0,111,5.09,605.53,229.52
2025-02-25,1,2,0,0,0.509,0,96,2.96,296.5,92.71
2025-02-26,2,2,0,0,0.658,0,104,4.15,498.53,166.63
2025-02-27,3,2,0,0,0.566,0,110,5.37,627.7,216.83
2025-02-28,4,2,0,0,0.539,0,127,3.86,573.16,186.43
2025-03-01,5,3,1,0,0.901,0,166,4.89,926.36,299.27
2025-03-02,6,3,1,0,1.0,0,154,4.91,877.42,302.29
2025-03-03,0,3,0,0,0.487,0,115,3.88,523.46,170.16
2025-03-04,1,3,0,0,0.531,0,103,4.22,508.39,164.25
2025-03-05,2,3,0,0,0.416,0,106,2.95,353.84,140.28
2025-03-06,3,3,0,0,0.53,0,110,4.45,581.32,222.75
2025-03-07,4,3,0,0,0.869,1,154,4.71,824.4,333.14
2025-03-08,5,3,1,0,0.388,1,151,5.17,918.9,351.69
2025-03-09,6,3,1,0,0.392,0,113,5.51,659.72,259.33
2025-03-10,0,3,0,0,0.707,0,111,3.76,476.94,149.04
2025-03-11,1,3,0,0,0.638,0,91,3.87,384.02,133.91
2025-03-12,2,3,0,0,0.531,0,109,3.93,511.91,174.89
2025-03-13,3,3,0,0,0.621,0,122,3.9,535.88,188.56
2025-03-14,4,3,0,0,0.638,0,128,4.92,713.41,218.85
2025-03-15,5,3,1,0,0.586,0,135,4.98,774.44,280.35
2025-03-16,6,3,1,0,0.625,0,127,5.04,731.31,225.61
2025-03-17,0,3,0,0,0.566,0,114,5.04,648.69,253.55
2025-03-18,1,3,0,0,0.371,1,111,6.24,825.6,333.13
2025-03-19,2,3,0,0,0.694,0,97,4.8,500.59,184.11
2025-03-20,3,3,0,0,0.833,0,124,3.54,508.27,174.41
2025-03-21,4,3,0,0,0.44,0,127,4.23,576.1,200.62
2025-03-22,5,3,1,0,0.603,1,196,5.45,1347.58,579.56
2025-03-23,6,3,1,0,0.431,1,152,5.29,903.1,350.32
2025-03-24,0,3,0,0,0.677,0,107,3.77,457.02,182.32
2025-03-25,1,3,0,0,0.751,0,103,3.13,368.04,141.48
2025-03-26,2,3,0,0,0.625,0,105,4.01,442.57,136.69
2025-03-27,3,3,0,0,0.6,0,102,4.62,531.54,204.31
2025-03-28,4,3,0,0,0.802,1,160,5.39,1065.79,407.46
2025-03-29,5,3,1,0,1.0,1,213,5.72,1576.76,618.07
2025-03-30,6,3,1,0,1.0,0,153,4.97,918.66,338.43
2025-03-31,0,3,0,0,0.563,0,113,4.37,539.31,205.91
2025-04-01,1,4,0,0,0.326,0,109,4.21,548.86,202.89
2025-04-02,2,4,0,0,0.521,0,111,4.17,517.76,197.92
2025-04-03,3,4,0,0,0.454,0,125,3.38,453.38,145.11
2025-04-04,4,4,0,0,0.808,0,128,4.23,654.93,221.04
2025-04-05,5,4,1,0,0.567,1,167,4.31,875.84,296.93
2025-04-06,6,4,1,0,0.462,1,152,4.27,782.2,285.37
2025-04-07,0,4,0,0,0.634,0,115,3.9,483.69,150.24
2025-04-08,1,4,0,0,0.73,0,104,3.99,436.77,143.67
2025-04-09,2,4,0,0,0.823,0,125,3.83,538.82,161.28
2025-04-10,3,4,0,0,0.719,0,141,3.27,538.89,166.33
2025-04-11,4,4,0,0,0.548,0,127,3.98,573.36,192.83
2025-04-12,5,4,1,0,0.683,0,161,4.41,809.53,290.42
2025-04-13,6,4,1,0,0.581,1,157,4.61,831.7,331.2
2025-04-14,0,4,0,1,1.0,0,155,5.18,979.29,396.17
2025-04-15,1,4,0,1,0.716,0,138,5.08,790.48,328.92
2025-04-16,2,4,0,1,0.581,0,134,5.59,861.18,321.52
2025-04-17,3,4,0,0,0.628,0,127,3.97,581.46,206.5
2025-04-18,4,4,0,0,0.675,0,125,3.51,530.07,180.64
2025-04-19,5,4,1,0,0.63,0,144,3.81,661.18,221.5
2025-04-20,6,4,1,0,0.368,0,122,3.87,548.61,202.26
2025-04-21,0,4,0,0,0.637,0,110,3.6,446.53,174.7
2025-04-22,1,4,0,0,0.644,0,94,3.91,400.78,155.71
2025-04-23,2,4,0,0,0.37,1,117,5.2,676.97,271.58
2025-04-24,3,4,0,0,0.358,1,140,5.01,801.16,330.71
2025-04-25,4,4,0,0,0.807,1,156,5.06,928.42,365.66
2025-04-26,5,4,1,0,0.895,0,156,4.4,833.47,295.67
2025-04-27,6,4,1,0,0.514,1,155,5.59,1075.83,368.76
2025-04-28,0,4,0,0,0.734,0,120,4.6,623.92,195.13
2025-04-29,1,4,0,0,0.416,0,101,4.03,443.23,168.04
2025-04-30,2,4,0,0,0.471,1,130,4.4,670.94,233.54
2025-05-01,3,5,0,0,0.754,0,127,4.61,709.05,223.71
2025-05-02,4,5,0,0,0.815,0,144,4.99,827.11,242.52
